feature,category,CL — LightGBM,CL — RandomForest,CL — XGBoost,Direct — LGBM Dense,MIMO — RF (two-stage),MIMO — XGB Dense,OL — LGBM Daily-Opt,OL — XGB Dense+SS,avg
gas_lag3,Gas price lag,5.9190192557032616e-05,0.025954661777234028,0.003320833267306204,0.0022547043010752686,0.010688459905754169,0.015889802993068473,0.0035006717505251007,0.0060915485710958785,0.00846998409482702
hour_cos,Calendar / Time,0.0021330883611183774,0.001867321796653255,0.01621491379973245,0.0037311827956989247,0.011179979094976105,0.007845749230053855,0.018884704902832707,0.004292979216059867,0.008268739899640692
gen_fc_dayahead,Other,0.0025510597475602993,0.00433926429848939,0.0030686008588751926,0.01518481182795699,0.0023730198985378232,0.0023509054771332083,0.027059246504058887,0.0033630589130617477,0.007536245940709192
hour,Calendar / Time,0.0017320028901266539,0.003061130483210639,0.004720746766407454,0.008211693548387097,0.015547162911240383,0.008304581954458724,0.01368100365205215,0.0024395491366396315,0.007212233917815342
y_lag22,Price lag (intraday dense),0.0,0.0,0.0,0.008855510752688171,0.0,0.02793566564836677,0.0,0.019627630269485465,0.00705235083381755
dow,Calendar / Time,0.0011043485597145735,0.0010756754085459715,0.005696511539265716,0.014913978494623656,0.0027209254740706277,0.010622441216295936,0.0166139989024921,0.0031200295711225363,0.0069834886457663895
wind_onshore_fc_dayahead,Other,0.0012252917589864348,0.0015699291364208552,0.001689487633518598,0.01900470430107527,0.0013595187001088375,0.0024031283563202724,0.022669214903400382,0.0017484170486840834,0.006458711479814341
gen_solar_lag2,Solar gen lag,0.002235249614759689,0.0019259711937026941,0.006981255133478512,0.00551478494623656,0.006676016288784693,0.004636800633173946,0.018430563702764583,0.002410777320596953,0.006101427354187203
solar_fc_dayahead,Other,0.0022287456913392535,0.001484369941772058,0.0032536606986872415,0.006458333333333333,0.007423831815316843,0.002022934415561864,0.02073911480311087,0.002378081143771267,0.005748633980361591
y_lag19,Price lag (intraday dense),0.0,0.0,0.0,0.008916666666666666,0.0,0.033989073854276616,0.0,0.001262007023338941,0.005520968443035278
gen_wind_lag24,Wind gen lag,0.000684999722392406,0.0007527842853732976,0.0017014012277057821,0.02025470430107527,0.0008373519048285311,0.0034914194656568928,0.014135144852120272,0.001248928343061072,0.00538834176277669
y_lag13,Price lag (intraday dense),0.0,0.0,0.0,0.008975134408602151,0.0,0.0316188227315653,0.0,0.0012383433955726662,0.005229037566967514
y_lag4,Price lag (intraday dense),0.0,0.0,0.0,0.009558467741935485,0.0,0.02892539355516551,0.0,0.0021850545144846013,0.0050836144764482
residual_load_lag1,Residual load lag,0.0008970386302702534,0.0068728266939388745,0.002001397908943776,0.007271505376344085,0.0006310097159416751,0.001979999046283847,0.0171059852025659,0.003606685232814524,0.005045805975887867
co2_lag168,CO₂ price lag,0.00070020443849113,0.006684220476927924,0.0029306976039209275,0.015940860215053764,0.001310788350449497,0.0034179361465655604,0.006774272901016141,0.0020953576666738823,0.004981792224887353
y_lag8,Price lag (intraday dense),0.0,0.0,0.0,0.009346102150537635,0.0,0.02825415282193682,0.0,0.0013266589754898702,0.004865864243495541
y_lag11,Price lag (intraday dense),0.0,0.0,0.0,0.009190860215053763,0.0,0.027734272034900396,0.0,0.001923106051563792,0.004856029787689744
gen_wind_lag48,Wind gen lag,0.0008315272647311815,0.0009761527805862907,0.0018383708318262214,0.02077688172043011,0.0011986941544773573,0.002234746557422953,0.008874675951331202,0.0014393160696414427,0.004771295666305844
y_lag16,Price lag (intraday dense),0.0,0.0,0.0,0.008771505376344087,0.0,0.027859132116934658,0.0,0.0014659009072898889,0.004762067300071079
y_lag21,Price lag (intraday dense),0.0,0.0,0.0,0.009016129032258064,0.0,0.025951475737888776,0.0,0.002981806157046947,0.004743676365899223
y_lag14,Price lag (intraday dense),0.0,0.0,0.0,0.008495967741935484,0.0,0.02809076192241377,0.0,0.0012019795537671924,0.004723588652264556
y_lag9,Price lag (intraday dense),0.0,0.0,0.0,0.009690860215053764,0.0,0.026271200396604903,0.0,0.0016417865433493225,0.0047004808943759985
y_lag10,Price lag (intraday dense),0.0,0.0,0.0,0.009239247311827958,0.0,0.026026630383217234,0.0,0.001712968697035761,0.004622355799010119
y_lag15,Price lag (intraday dense),0.0,0.0,0.0,0.009056451612903227,0.0,0.02628421081265245,0.0,0.001432800420022216,0.0045966828556972365
y_lag20,Price lag (intraday dense),0.0,0.0,0.0,0.009428763440860216,0.0,0.023980727246925963,0.0,0.0014612360285911085,0.004358840839547161
y_lag17,Price lag (intraday dense),0.0,0.0,0.0,0.00900739247311828,0.0,0.02451457030046809,0.0,0.0011293564111228168,0.004331414898088648
y_lag7,Price lag (intraday dense),0.0,0.0,0.0,0.00934206989247312,0.0,0.022970991196793134,0.0,0.0013970858265135925,0.0042137683644724805
y_lag18,Price lag (intraday dense),0.0,0.0,0.0,0.008682123655913978,0.0,0.023552351277908733,0.0,0.0011821532081168918,0.00417707851774245
gen_wind_lag168,Wind gen lag,0.00045592795416226164,0.0009100656243696264,0.0010474256175679118,0.019102822580645162,0.0008546376842781796,0.001868479279485012,0.00772040040115806,0.0010779061902538394,0.004129708166490007
load_lag6,Load / Load-FC,0.0009272859942935926,0.0017041062783836334,0.002019333085347872,0.010314516129032258,0.0007585801703046449,0.0025438710531672758,0.01298086930194713,0.0014812049830209755,0.004091220874437172
