feature,category,CL — LightGBM,CL — RandomForest,CL — XGBoost,Direct — LGBM Dense,MIMO — RF,MIMO — XGB Dense,OL — LGBM-SS Daily,avg
w_patras_precipitation_missing,Other,0.0,1.1115120292031843e-05,0.0,0.0,3.016800969899065e-06,0.00011625004245303973,7.835209866096263e-06,1.9745310511580988e-05
w_heraklion_precipitation_missing,Other,0.0,9.621017471818742e-06,0.0,0.0,1.9306912547656926e-06,9.52157188839791e-05,0.0,1.5252489658651934e-05
w_heraklion_cloud_cover_missing,Other,0.0,1.003589418058043e-05,0.0,0.0,2.196672886653236e-06,5.787435417896101e-05,0.0,1.0015274463742095e-05
w_gr_mean_temperature_2m_missing,Other,0.0,5.535657381516214e-06,0.0,0.0,1.254692624463973e-06,3.089987150766948e-05,0.0,5.38431735909281e-06
w_patras_cloud_cover_missing,Other,0.0,1.1544116492961189e-05,0.0,0.0,2.774746928988629e-06,7.392563934133535e-06,7.835209866096263e-06,4.220948174597088e-06
w_patras_wind_speed_10m_missing,Other,0.0,1.1935192016452313e-05,0.0,0.0,3.3329203340944956e-06,1.2930957995934629e-05,0.0,4.02843862092592e-06
w_athens_temperature_2m_missing,Other,0.0,6.784334248109366e-06,0.0,0.0,1.608884384527894e-06,1.4269578370952482e-05,0.0,3.2375424290842484e-06
w_patras_wind_gusts_10m_missing,Other,0.0,1.2849995302304938e-05,0.0,0.0,2.7831494062646643e-06,0.0,0.0,2.2333063869385146e-06
w_patras_shortwave_radiation_missing,Other,0.0,1.2009691513609244e-05,0.0,0.0,2.889987203948334e-06,0.0,0.0,2.128525531079654e-06
w_heraklion_shortwave_radiation_missing,Other,0.0,1.0542621062858024e-05,0.0,0.0,2.01967076362037e-06,0.0,0.0,1.7946131180683419e-06
w_heraklion_wind_speed_10m_missing,Other,0.0,1.0135416107819911e-05,0.0,0.0,1.8256061965580678e-06,0.0,0.0,1.708717472053997e-06
w_heraklion_wind_gusts_10m_missing,Other,0.0,9.759292299985187e-06,0.0,0.0,1.7980146187667127e-06,0.0,0.0,1.6510438455359856e-06
w_thessaloniki_wind_gusts_10m_missing,Other,0.0,8.190124615026365e-06,0.0,0.0,1.5544751644454597e-06,0.0,0.0,1.3920856827816891e-06
w_larissa_wind_speed_10m_missing,Other,0.0,8.399387559267738e-06,0.0,0.0,1.1767143837397455e-06,0.0,0.0,1.3680145632867834e-06
w_larissa_temperature_2m_missing,Other,0.0,8.408317964127043e-06,0.0,0.0,1.1223233476206953e-06,0.0,0.0,1.3615201873925342e-06
w_athens_wind_gusts_10m_missing,Other,0.0,7.878768057552232e-06,0.0,0.0,1.552316609545096e-06,0.0,0.0,1.3472978095853326e-06
w_athens_wind_speed_10m_missing,Other,0.0,8.127572673388339e-06,0.0,0.0,1.2831128398241715e-06,0.0,0.0,1.3443836447446442e-06
w_larissa_wind_gusts_10m_missing,Other,0.0,8.101322671811192e-06,0.0,0.0,1.2971432081768809e-06,0.0,0.0,1.342637982855439e-06
w_thessaloniki_cloud_cover_missing,Other,0.0,8.015989323608044e-06,0.0,0.0,1.3784749708932922e-06,0.0,0.0,1.342066327785905e-06
